fresher,age,collegeReopen,semestersOnTeams,missOffline,moreBreaks,affectingMentalHealth,technicalDifficulties,missingOpportunities,examsCodetantra,2HoursEnough
No,19,Yes,more than 3 semesters,Yes,Strongly Disagree,Disagree,Rarely,Disagree,Excellent,Strongly Agree
No,20,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Nice,Maybe
No,21,Yes,3 semesters,Yes,Agree,Strongly Agree,Very often,Strongly Agree,Good,Maybe
No,19,No,2 semesters,No,Strongly Agree,Maybe,Rarely,Maybe,Bad,Strongly Disagree
No,18,No,more than 3 semesters,No,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Very bad,Strongly Disagree
No,18,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Bad,Maybe
No,18,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Bad,Strongly Disagree
Yes,19,Yes,1 semester,Yes,Agree,Maybe,Very often,Strongly Agree,Nice,Maybe
No,17,No,3 semesters,No,Strongly Agree,Agree,Rarely,Agree,Very bad,Strongly Disagree
No,18,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Maybe
Yes,18,No,1 semester,No,Strongly Agree,Strongly Agree,Rarely,Agree,Very bad,Maybe
No,19,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Agree,Nice,Agree
No,21,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Good,Strongly Agree
No,20,Yes,2 semesters,Yes,Maybe,Strongly Agree,Very often,Strongly Agree,Bad,Disagree
Yes,18,Yes,2 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Nice,Disagree
Yes,19,Yes,1 semester,Yes,Maybe,Agree,Rarely,Strongly Agree,Nice,Maybe
Yes,21,Yes,1 semester,No,Strongly Agree,Agree,Very often,Agree,Good,Maybe
No,20,No,3 semesters,No,Strongly Agree,Maybe,Very often,Maybe,Nice,Disagree
No,19,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Agree,Nice,Maybe
No,21,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Nice,Maybe
No,19,Yes,3 semesters,Yes,Strongly Disagree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
Yes,19,Yes,3 semesters,No,Agree,Strongly Agree,Very often,Strongly Agree,Good,Agree
No,19,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Agree,Bad,Disagree
No,18,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Bad,Disagree
No,18,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Disagree
No,20,Yes,more than 3 semesters,Yes,Strongly Agree,Agree,Rarely,Strongly Agree,Bad,Strongly Disagree
Yes,19,Yes,2 semesters,Yes,Strongly Agree,Maybe,Rarely,Maybe,Nice,Maybe
No,20,Yes,3 semesters,Yes,Agree,Strongly Agree,Very often,Strongly Agree,Nice,Disagree
No,18,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Agree,Good,Strongly Disagree
No,19,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Bad,Disagree
No,18,Yes,more than 3 semesters,Yes,Strongly Agree,Agree,Very often,Agree,Nice,Agree
No,19,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Nice,Agree
No,20,Yes,more than 3 semesters,Yes,Strongly Agree,Maybe,Rarely,Agree,Bad,Maybe
Yes,21,No,1 semester,No,Strongly Agree,Maybe,Rarely,Maybe,Very bad,Strongly Disagree
Yes,19,Yes,1 semester,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Bad,Disagree
No,20,Yes,2 semesters,Yes,Strongly Agree,Maybe,Rarely,Agree,Nice,Agree
No,21,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Bad,Disagree
Yes,19,Yes,1 semester,No,Agree,Maybe,Rarely,Agree,Nice,Agree
Yes,18,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Good,Disagree
Yes,18,No,2 semesters,No,Disagree,Maybe,Very often,Disagree,Excellent,Agree
Yes,18,Yes,1 semester,Yes,Strongly Agree,Disagree,Rarely,Agree,Bad,Disagree
No,19,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Good,Maybe
No,17,Yes,more than 3 semesters,Yes,Agree,Strongly Agree,Very often,Strongly Agree,Bad,Maybe
No,18,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Disagree
No,18,Yes,more than 3 semesters,Yes,Agree,Maybe,Very often,Maybe,Bad,Agree
No,19,Yes,more than 3 semesters,Yes,Strongly Agree,Maybe,Very often,Disagree,Nice,Maybe
No,21,No,3 semesters,No,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
No,20,Yes,more than 3 semesters,Yes,Strongly Agree,Agree,Very often,Strongly Agree,Nice,Disagree
No,18,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Very bad,Strongly Disagree
No,19,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Good,Disagree
No,21,Yes,3 semesters,Yes,Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Disagree
No,20,No,3 semesters,No,Strongly Agree,Maybe,Very often,Agree,Bad,Disagree
No,19,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Bad,Agree
No,21,Yes,more than 3 semesters,Yes,Strongly Disagree,Strongly Disagree,Very often,Strongly Disagree,Very bad,Strongly Disagree
No,19,No,3 semesters,No,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
No,19,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Nice,Maybe
No,20,Yes,more than 3 semesters,No,Strongly Agree,Maybe,Rarely,Agree,Good,Disagree
No,18,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
Yes,19,Yes,1 semester,Yes,Agree,Strongly Disagree,Rarely,Maybe,Nice,Disagree
No,18,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
No,19,Yes,3 semesters,Yes,Strongly Agree,Agree,Rarely,Maybe,Nice,Disagree
No,20,No,more than 3 semesters,No,Strongly Agree,Maybe,Rarely,Agree,Nice,Agree
No,21,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Bad,Disagree
Yes,19,Yes,1 semester,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
Yes,18,No,1 semester,No,Strongly Agree,Maybe,Rarely,Maybe,Bad,Disagree
Yes,19,Yes,1 semester,Yes,Maybe,Disagree,Very often,Maybe,Bad,Maybe
No,20,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Good,Strongly Agree
Yes,20,Yes,1 semester,Yes,Strongly Agree,Agree,Very often,Agree,Nice,Maybe
